ONLINE,,,,,,,,,,,,
Dataset,Strategy,Treino Inicial,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries/s,Query Rate,Number of Drifts
scene,Random,20%,10%,0.16104188300449981,0.24922118380062305,0.5957916391327606,92.54672265052795,0.0078125,192,2.074627760996188,0.09968847352024922,4
scene,Uncertainty,20%,10%,0.1887331256490135,0.29698857736240913,0.6015298362650389,107.0354654788971,617.8125,192,1.7937979635156942,0.09968847352024922,5
scene,QBC,20%,10%,0.29162339910003465,0.14589823468328142,0.4897647293285923,168.47387075424194,0.03515625,3,0.017806915615871336,0.001557632398753894,6
scene,NoQuery,30%,0%,0.27270029673590507,0.12047477744807121,0.49571246590534435,29.265077829360962,0.0078125,0,0.0,0.0,3
scene,FullSupervision,30%,100%,0.05459940652818991,0.7548961424332344,0.887782873242814,320.20003938674927,2298.74609375,1685,5.2623353926724405,1.0,0
scene,Random,30%,10%,0.17171117705242336,0.2314540059347181,0.584997901867338,91.95294499397278,297.3515625,164,1.7835209085554538,0.0973293768545994,2
scene,Uncertainty,30%,10%,0.20949554896142433,0.2551928783382789,0.5715121541827775,92.2189576625824,14.69140625,168,1.8217512348674654,0.09970326409495549,4
scene,QBC,30%,10%,0.22611275964391692,0.17566765578635016,0.5313526961004705,414.39479184150696,323.234375,168,0.405410500584319,0.09970326409495549,6
scene,NoQuery,50%,0%,0.27104097452934667,0.1611295681063123,0.5056985972683646,20.107648849487305,0,0,0.0,0.0,0
scene,FullSupervision,50%,100%,0.053156146179401995,0.7558139534883721,0.8947875767643209,236.46166348457336,1546.37109375,1204,5.091734458167458,1.0,0
scene,Random,50%,10%,0.1838316722037652,0.2898671096345515,0.629238397261653,72.92377281188965,77.37109375,120,1.6455539170956737,0.09966777408637874,2
scene,Uncertainty,50%,10%,0.25387596899224807,0.2350498338870432,0.5558592570220477,80.1095404624939,562.328125,120,1.4979489247748492,0.09966777408637874,3
scene,QBC,50%,10%,0.21345514950166114,0.292358803986711,0.6003922111480251,406.99071884155273,96.83203125,120,0.2948470184813175,0.09966777408637874,2
scene,NoQuery,80%,0%,0.1697786998616874,0.1078838174273859,0.5245944926442851,9.123188495635986,0,0,0.0,0.0,0
scene,FullSupervision,80%,100%,0.04979253112033195,0.7634854771784232,0.8930801793872335,85.3900465965271,477.41015625,482,5.644685993409488,1.0,0
scene,Random,80%,10%,0.13762102351313968,0.27593360995850624,0.6209690263632172,22.050772190093994,88.3671875,48,2.1767945170447747,0.0995850622406639,0
scene,Uncertainty,80%,10%,0.15352697095435686,0.23858921161825727,0.5980761976612599,24.885958909988403,0.1875,48,1.9287984912943974,0.0995850622406639,1
scene,QBC,80%,10%,0.17012448132780084,0.25933609958506226,0.5966150090112745,96.72482204437256,0.0234375,48,0.49625317457787593,0.0995850622406639,4
