Dataset,Strategy,Budget,Train Fraction,Initial Train Size,Stream Size,Test Size,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
nus-wide,FullSupervision,,0.2,3157,12631,146810,0.1353133447187758,0.3051223181062465,0.6462994706364195,1354.8902382850647,3539.81640625,12631,9.322526388549031,1.0,"[543, 607, 3039, 3999, 4031, 4063, 8863, 10719, 11615, 11935]",10
nus-wide,Random,0.1,0.16653584717870992,0.12170057794315574,0.542956374372731,256.25405192375183,678.73671875,1262.0,4.9256947521003935,0.09991291267516428,6.6,[]
nus-wide,Uncertainty,0.1,0.2,3157,12631,146810,0.17009172444213214,0.064048768901908,0.5085539630805248,343.093053817749,846.859375,1263,3.6812170516017075,0.09999208297046948,"[4159, 4191, 8927]",3
nus-wide,QBC,0.1,0.2,3157,12631,146810,0.26286800049764175,0.06808645396247329,0.47927357831165923,902.0053277015686,10.6796875,1263,1.4002134590693545,0.09999208297046948,"[3999, 4031, 4127, 4287, 8927]",5
nus-wide,NoQuery,,0.3,4736,11052,146810,0.19789566206504314,0.013210278682591387,0.46487954730354303,89.25945830345154,0.27734375,0,0.0,0.0,"[3295, 3583, 7327]",3
nus-wide,FullSupervision,,0.3,4736,11052,146810,0.13033193733519466,0.30926529134998193,0.646551683427362,1166.2761998176575,2684.72265625,11052,9.476314445692998,1.0,"[1471, 1503, 2431, 2463, 2495, 6591, 7327, 9055, 10335]",9
nus-wide,Random,0.1,0.159425572617755,0.12888165038002172,0.538193497096863,227.27373113632203,553.95703125,1099.6,4.83966268961453,0.09949330437929786,8.6,[]
nus-wide,Uncertainty,0.1,0.3,4736,11052,146810,0.16276304224186958,0.06496561708288093,0.5022315185317358,289.2415702342987,591.09765625,1105,3.8203360571749774,0.09998190372783207,"[2463, 2495, 2591, 7231]",4
nus-wide,QBC,0.1,0.3,4736,11052,146810,0.16263378315495577,0.06080347448425624,0.5002748124015768,793.4715428352356,164.08984375,1105,1.3926145303858153,0.09998190372783207,"[2431, 2463, 2559, 7327]",4
nus-wide,NoQuery,,0.5,7894,7894,146810,0.16254659958739004,0.00038003546997719787,0.4559271359499381,58.20686721801758,2.3515625,0,0.0,0.0,"[4159, 4191]",2
nus-wide,FullSupervision,,0.5,7894,7894,146810,0.12340294617973865,0.3099822650114011,0.6384631625447434,761.7549860477448,1444.03125,7894,10.362912149688542,1.0,"[4127, 4159, 6879, 7199]",4
nus-wide,Random,0.1,0.14860472691736942,0.11373194831517608,0.5214517177780417,138.75056452751159,66.9,782.6,5.640181903458818,0.09913858626805168,4.8,[]
nus-wide,Uncertainty,0.1,0.5,7894,7894,146810,0.15794998009338013,0.02850266024828984,0.47249942861799976,178.7281196117401,3.9375,789,4.414526386301067,0.09994932860400305,"[4159, 4191]",2
nus-wide,QBC,0.1,0.5,7894,7894,146810,0.15217706033515505,0.11781099569293134,0.5210402784446363,529.1563153266907,0.0078125,789,1.4910527894066368,0.09994932860400305,"[3327, 3359, 3455, 3615]",4
nus-wide,NoQuery,,0.8,12630,3158,146810,0.11422238306342168,0.35338822039265355,0.6829014188260547,23.006927490234375,0,0,0.0,0.0,"[3039, 3071, 3103, 3135]",4
nus-wide,FullSupervision,,0.8,12630,3158,146810,0.10359178503573688,0.4398353388220393,0.7156785741174594,279.2494306564331,735.7265625,3158,11.308886082870332,1.0,"[2143, 2463]",2
nus-wide,Random,0.1,0.11538948701709942,0.35883470550981633,0.6744313992952372,49.12498459815979,1.584375,307.6,6.262046369768882,0.09740341988600379,4.0,[]
nus-wide,Uncertainty,0.1,0.8,12630,3158,146810,0.11711752465394008,0.3546548448385054,0.6680817651843618,64.89330911636353,189.28515625,315,4.8541213923173085,0.09974667511082964,"[2463, 3007, 3039, 3103]",4
nus-wide,QBC,0.1,0.8,12630,3158,146810,0.11666515878042158,0.2963901203293224,0.6349387945809732,188.87585020065308,0,315,1.6677621816942632,0.09974667511082964,[3103],1
