Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
emotions,ClusterHardness_0.9_per_label_K7_30%,0.3,0.23918269230769232,0.19951923076923078,0.671471237096237,8.425039052963257,6.046875,69,8.189873016164988,0.1658653846153846,[],0
scene,NoQuery,,0.27270029673590507,0.12047477744807121,0.49571246590534435,19.86618971824646,7.578125,0,0.0,0.0,"[287, 1343, 1375]",3
scene,FullSupervision,,0.05459940652818991,0.7548961424332344,0.887782873242814,234.35117959976196,75.51953125,1685,7.190064086204887,1.0,[],0
scene,ClusterHardness_0.05_global_K6_30%,0.3,0.123837784371909,0.48189910979228484,0.7342612646173478,94.25588083267212,165.43359375,380,4.031578683929499,0.22551928783382788,"[1407, 1567, 1599]",3
scene,ClusterHardness_0.1_global_K6_30%,0.3,0.123837784371909,0.48189910979228484,0.7342612646173478,94.95239973068237,109.5625,380,4.002005226595752,0.22551928783382788,"[1407, 1567, 1599]",3
scene,ClusterHardness_0.3_global_K6_30%,0.3,0.14985163204747776,0.41899109792284867,0.7026021341006504,104.33258414268494,64.86328125,398,3.814723878167307,0.23620178041543027,"[639, 1535, 1567]",3
scene,ClusterHardness_0.5_global_K6_30%,0.3,0.11612265084075173,0.5169139465875371,0.7552158079309416,91.93886303901672,123.19140625,350,3.8068776187874773,0.20771513353115728,"[1535, 1567]",2
scene,ClusterHardness_0.7_global_K6_30%,0.3,0.13353115727002968,0.41839762611275966,0.6865890357581752,86.99836230278015,64.41015625,329,3.781680382154577,0.19525222551928784,"[607, 639, 767, 1599]",4
scene,ClusterHardness_0.9_global_K6_30%,0.3,0.15934718100890208,0.29080118694362017,0.6136903156190989,83.41840147972107,43.17578125,302,3.6203043290564123,0.17922848664688426,"[607, 671, 767]",3
scene,ClusterHardness_0.05_per_label_K6_30%,0.3,0.1400593471810089,0.44688427299703265,0.7210710967239158,124.63925957679749,114.99609375,505,4.051692875219947,0.2997032640949555,"[575, 607, 927, 1183, 1215, 1599, 1631]",7
scene,ClusterHardness_0.1_per_label_K6_30%,0.3,0.1406528189910979,0.4421364985163205,0.7189618739322003,116.63537669181824,155.078125,505,4.3297326619379355,0.2997032640949555,"[575, 927, 1183, 1215, 1663]",5
scene,ClusterHardness_0.3_per_label_K6_30%,0.3,0.1437190900098912,0.4344213649851632,0.7077170817972005,100.15695428848267,49.1796875,395,3.9438100210423648,0.2344213649851632,"[543, 575, 607, 1567, 1599]",5
